Comment,Designator,Footprint,LibRef,Quantity

"100nF","C1, C10, C11, C14","C0603","CL10B104KB8NNNC","4"
"1uF","C2","C0603","CL10A105KB8NNNC","1"
"22uF","C3, C4, C5, C6, C7, C8, C15, C16","C0805","CL21A226MAQNNNE","8"
"10uF","C9, C12, C18","C0603","CL10A106MA8NRNC","3"
"4.7uF","C13","C0603","CL10A475KO8NNNC","1"
"2.2uF","C17","C0603","CL10A225KB8NNNC","1"
"220uF","C19, C20, C21","CAP-SMD_BD6.3-L6.6-W6.6-FD-A","OVZ221M0JTR-0606","3"
"SS14L","D1, D2","SOD-123F_L2.8-W1.8-LS3.7-RD","SS14L","2"
"12H1300C","F1","F1206","12H1300C","1"
"AFC01-S08FCA-00","FPC1","FPC-SMD_P0.50-8P_FGS-XJ-H2.0","AFC01-S08FCA-00","1"
"PZ254V-11-03P","H1, H2, H3","HDR-TH_3P-P2.54-V-M","PZ254V-11-03P","3"
"PZ254V-11-04P","H4","HDR-TH_4P-P2.54-V-M","PZ254V-11-04P_C492403","1"
"1uH","L1","IND-SMD_L7.0-W6.6","FXL0630-1R0-M","1"
"3.9uH","L2","IND-SMD_L4.0-W4.0_FNR40XXS","FNR4030S3R9MT","1"
"NCD0603Y1","LED1, LED2, LED3, LED4","LED0603-RD","NCD0603Y1","4"
"SS8050","Q1, Q2","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","SS8050_C541705","2"
"10kOhm","R1, R2, R3, R4","R0603","0603WAF1002T5E","4"
"5.1kOhm","R5, R7","R0603","0603WAF5101T5E","2"
"500mOhm","R6","R0805","FRL0805JR500TS","1"
"2Ohm","R8","R0603","0603WAF200KT5E","1"
"100Ohm","R9","R0603","0603WAF1000T5E","1"
"ESP32-S3-WROOM-1U-N16R8","U1","WIRELM-SMD_ESP32-S3-WROOM-1U","ESP32-S3-WROOM-1U-N16R8","1"
"IP5306","U2","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","IP5306","1"
"CH340C","U3","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","CH340C","1"
"KH-SS12F23-G6","U4","SW-TH_KH-SS12F23-G6","KH-SS12F23-G6","1"
"IP3005A","U5","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","IP3005A","1"
"HC-C5080-2AS","U6","CONN-TH_HC-C5080-2AS","HC-C5080-2AS","1"
"AP63203WU-7","U7","TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL","AP63203WU-7","1"
"JY61P","U8","JY61P","JY61P","1"
"KH-TYPE-C-16P","USB1","USB-C-SMD_KH-TYPE-C-16P","KH-TYPE-C-16P","1"
