Comment,Designator,Footprint,LibRef,Manufacturer,Quantity
100nF ±10%,"C1, C4, C8, C9, C10, C12, C13, C14, C19",C0603,CL10B104KB8NNNC,SAMSUNG,9
47uF ±20%,C2,CAP-SMD_BD6.3-L6.5-W6.5-LS7.2-FD,RVE25V47M6X5,JIERR,1
10uF ±20%,"C3, C5, C16",C0603,CL10A106MA8NRNC,SAMSUNG,3
22uF ±20%,"C6, C7, C17, C18",C0805,CL21A226MAQNNNE,SAMSUNG,4
4.7uF ±10%,C11,C0603,CL10A475KO8NNNC,SAMSUNG,1
2.2uF ±10%,C15,C0603,CL10A225KB8NNNC,SAMSUNG,1
SMF5.0A,D1,SOD-123FL_L2.7-W1.8-LS3.8-RD,SMF5.0A,R+O,1
SS32,D2,SMA_L4.3-W2.6-LS5.0-RD,SS32,R+O,1
SS14L,"D3, D4",SOD-123F_L2.8-W1.8-LS3.7-RD,SS14L,Hottech,2
3A,F1,F1206,12H1300C,LANSON,1
1x4P,J1,HDR-TH_4P-P2.54-H-M-W10.3,HX PZ2.54-1X4P WZ,hanxia,1
10uH ±20%,L1,IND-SMD_L7.3-W6.8,FXL0630-100-M,cjiang,1
3.9uH ±20%,L2,IND-SMD_L4.0-W4.0_FNR40XXS,FNR4030S3R9MT,cjiang,1
LED-RED,LED1,LED0603-RD,NCD0603R1,nationstar,1
LED-GREEN,LED2,LED0603-RD,NCD0603G1,nationstar,1
LED-BLUE,LED3,LED0603-RD,NCD0603B1,nationstar,1
LED-YELLOW,"LED4, LED5",LED0603-RD,NCD0603Y1,nationstar,2
SS8050,"Q1, Q2",SOT-23-3,SS8050,AnBon,2
SI2301-ZE,Q3,SOT-23-3,SI2301-ZE,HXY,1
10kΩ ±1%,"R1, R2, R3, R6, R7",R0603,0603WAF1002T5E,UNI-ROYAL,5
300mΩ ±1%,R4,R1206,HoYH1206-1W-300mR-1%,Milliohm,1
1kΩ ±1%,"R5, R15",R0603,0603WAF1001T5E,UNI-ROYAL,2
5.1kΩ ±1%,"R8, R9",R0603,0603WAF5101T5E,UNI-ROYAL,2
1.5kΩ ±1%,R10,R0603,0603WAF1501T5E,UNI-ROYAL,1
330Ω ±1%,"R11, R17, R18",R0603,0603WAF3300T5E,UNI-ROYAL,3
100Ω ±1%,R12,R0603,0603WAF1000T5E,UNI-ROYAL,1
100kΩ ±1%,"R13, R14",R0603,0603WAF1003T5E,UNI-ROYAL,2
360kΩ ±1%,R16,R0603,0603WAF3603T5E,UNI-ROYAL,1
TS-1109S-C-J,"SW1, SW2, SW3, SW5, SW6, SW7",SW-SMD_4P-L4.5-W4.5-P3.00-LS7.0,TS-1109S-C-J,XKB Connection,6
TK-6580B-1,SW4,SW-TH_TK-6580B-1,TK-6580B-1,Yuandi,1
ESP32-C6-WROOM-1-N8,U1,WIRELM-SMD_ESP32-C6-WROOM-1,ESP32-C6-WROOM-1-N8,ESPRESSIF,1
TP5400,U2,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,TP5400,TOPPOWER,1
CH340C,U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,CH340C,WCH,1
IP3005A,U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,IP3005A,INJOINIC,1
YA13-FL7.4-B5Ka(45-10)-R-Y06,U5,RES-ADJ-TH_YA13-FL7.4-B5KA-45-10-R-Y06_1,YA13-FL7.4-B5Ka(45-10)-R-Y06,YTL,1
AP63203WU-7,U6,TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,AP63203WU-7,DIODES,1
KH-TYPE-C-16P,USB1,USB-C-SMD_KH-TYPE-C-16P,KH-TYPE-C-16P,kinghelm,1
